127.0.0.1, 2015-03-25 11:33:30, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.081796
127.0.0.1, 2015-03-25 11:33:30, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.163539
127.0.0.1, 2015-03-25 11:33:35, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.245457
127.0.0.1, 2015-03-25 11:33:38, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.056746
127.0.0.1, 2015-03-25 11:33:53, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.055517
127.0.0.1, 2015-03-25 11:33:53, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.067288
127.0.0.1, 2015-03-25 11:33:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.101111
127.0.0.1, 2015-03-25 11:33:53, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.179746
127.0.0.1, 2015-03-25 11:33:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.178705
127.0.0.1, 2015-03-25 11:33:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.110702
127.0.0.1, 2015-03-25 11:33:54, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.294878
127.0.0.1, 2015-03-25 11:34:11, POST, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.061925
127.0.0.1, 2015-03-25 11:34:32, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.055326
127.0.0.1, 2015-03-25 11:34:33, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.236186
127.0.0.1, 2015-03-25 11:34:35, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.200623
127.0.0.1, 2015-03-25 11:34:35, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000979
127.0.0.1, 2015-03-25 11:34:35, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.131862
127.0.0.1, 2015-03-25 11:34:36, GET, /welcome/appadmin/select/db, HTTP/1.1, 200, 0.092534
127.0.0.1, 2015-03-25 11:34:36, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000906
127.0.0.1, 2015-03-25 11:34:42, GET, /welcome/appadmin/insert/db/test, HTTP/1.1, 200, 0.088421
127.0.0.1, 2015-03-25 11:34:42, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000631
127.0.0.1, 2015-03-25 11:34:47, GET, /welcome/appadmin/select/db, HTTP/1.1, 200, 0.094088
127.0.0.1, 2015-03-25 11:34:50, GET, /welcome/appadmin/insert/db/test, HTTP/1.1, 200, 0.077233
127.0.0.1, 2015-03-25 11:34:54, POST, /welcome/appadmin/insert/db/test, HTTP/1.1, 200, 0.263708
127.0.0.1, 2015-03-25 11:34:54, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000646
127.0.0.1, 2015-03-25 11:34:57, GET, /welcome/appadmin/insert/db/test, HTTP/1.1, 200, 0.085893
127.0.0.1, 2015-03-25 11:34:59, GET, /welcome/appadmin/select/db, HTTP/1.1, 200, 0.087486
127.0.0.1, 2015-03-30 09:52:44, GET, /, HTTP/1.1, 303, 0.000722
127.0.0.1, 2015-03-30 09:52:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.425187
